Type	Start	End	Consultant
Meeting	2017-02-06 12:00:00.0	2017-02-06 13:00:00.0	user1
Consulting	2017-02-13 09:00:00.0	2017-02-13 10:00:00.0	user1
Consulting	2017-02-20 09:00:00.0	2017-02-20 10:00:00.0	user1
Meeting	2017-02-07 09:00:00.0	2017-02-07 10:00:00.0	user1
Consulting	2017-02-14 09:00:00.0	2017-02-14 10:00:00.0	user1
Consulting	2017-02-21 09:00:00.0	2017-02-21 10:00:00.0	user1
Meeting	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Consulting	2017-02-15 09:00:00.0	2017-02-15 10:00:00.0	user1
Consulting	2017-02-22 09:00:00.0	2017-02-22 10:00:00.0	user1
Meeting	2017-02-10 09:00:00.0	2017-02-10 10:00:00.0	user1
Consulting	2017-02-17 09:00:00.0	2017-02-17 10:00:00.0	user1
Consulting	2017-02-24 09:00:00.0	2017-02-24 10:00:00.0	user1
Meeting	2017-02-11 09:00:00.0	2017-02-11 10:00:00.0	user1
Consulting	2017-02-18 09:00:00.0	2017-02-18 10:00:00.0	user1
Consulting	2017-02-25 09:00:00.0	2017-02-25 10:00:00.0	user1
Reg	2017-02-08 09:30:00.0	2017-02-08 10:00:00.0	user1
Jean	2017-02-08 10:00:00.0	2017-02-08 12:00:00.0	user1
Eva	2017-02-08 09:30:00.0	2017-02-08 11:00:00.0	user1
Ana	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Corona	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Late	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Ice	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Cool	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
Fire	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
CC	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user1
New	2017-02-08 08:00:00.0	2017-02-08 10:00:00.0	user1
Test	2017-02-09 09:30:00.0	2017-02-09 11:30:00.0	user1
Jean	2017-02-24 09:30:00.0	2017-02-24 10:00:00.0	user1
Ana	2017-02-16 12:30:00.0	2017-02-16 15:30:00.0	user1
Eva	2017-02-24 12:00:00.0	2017-02-24 16:00:00.0	user1
Lynnette	2017-02-24 13:00:00.0	2017-02-24 16:00:00.0	user1
Alert	2018-07-09 20:28:00.0	2018-07-09 22:28:00.0	user1
Tester	2018-07-10 10:55:00.0	2018-07-10 12:55:00.0	user1
Warning	2018-07-11 20:20:00.0	2018-07-11 22:20:00.0	user1
Alarm Appointment	2018-07-15 11:30:00.0	2018-07-15 13:20:00.0	user1
New Alarm	2018-07-19 00:10:00.0	2018-07-19 01:00:00.0	user1
Meeting	2017-02-06 12:00:00.0	2017-02-06 13:00:00.0	user2
Consulting	2017-02-13 09:00:00.0	2017-02-13 10:00:00.0	user2
Consulting	2017-02-20 09:00:00.0	2017-02-20 10:00:00.0	user2
Meeting	2017-02-07 09:00:00.0	2017-02-07 10:00:00.0	user2
Consulting	2017-02-14 09:00:00.0	2017-02-14 10:00:00.0	user2
Consulting	2017-02-21 09:00:00.0	2017-02-21 10:00:00.0	user2
Meeting	2017-02-08 09:00:00.0	2017-02-08 10:00:00.0	user2
Consulting	2017-02-15 09:00:00.0	2017-02-15 10:00:00.0	user2
Consulting	2017-02-22 09:00:00.0	2017-02-22 10:00:00.0	user2
Meeting	2017-02-10 09:00:00.0	2017-02-10 10:00:00.0	user2
Consulting	2017-02-17 09:00:00.0	2017-02-17 10:00:00.0	user2
Consulting	2017-02-24 09:00:00.0	2017-02-24 10:00:00.0	user2
Meeting	2017-02-11 09:00:00.0	2017-02-11 10:00:00.0	user2
